(1437532806, 27)
(1437532807, 62)
(1437532808, 56)
(1437532809, 112)
(1437532810, 58)
(1437532811, 58)
(1437532812, 67)
(1437532813, 85)
(1437532814, 160)
(1437532815, 57)
(1437532816, 99)
(1437532817, 96)
(1437532818, 95)
(1437532819, 65)
(1437532820, 130)
(1437532821, 65)
(1437532822, 59)
(1437532823, 62)
(1437532824, 89)
(1437532825, 130)
(1437532826, 128)
(1437532827, 114)
(1437532828, 66)
(1437532829, 91)
(1437532830, 111)
(1437532831, 77)
(1437532832, 52)
(1437532833, 84)
(1437532834, 81)
(1437532835, 69)
(1437532836, 93)
(1437532837, 81)
(1437532838, 84)
(1437532839, 77)
(1437532840, 104)
(1437532841, 123)
(1437532842, 103)
(1437532843, 83)
(1437532844, 65)
(1437532845, 86)
(1437532846, 63)
(1437532847, 68)
(1437532848, 76)
(1437532849, 79)
(1437532850, 64)
(1437532851, 113)
(1437532852, 94)
(1437532853, 91)
(1437532854, 103)
(1437532855, 78)
(1437532856, 144)
(1437532857, 108)
(1437532858, 114)
(1437532859, 82)
(1437532860, 85)
(1437532861, 60)
(1437532862, 74)
(1437532863, 54)
(1437532864, 71)
(1437532865, 74)
(1437532866, 60)
(1437532867, 44)
(1437532868, 53)
(1437532869, 80)
(1437532870, 118)
(1437532871, 68)
(1437532872, 94)
(1437532873, 91)
(1437532874, 70)
(1437532875, 65)
(1437532876, 61)
(1437532877, 84)
(1437532878, 64)
(1437532879, 77)
(1437532880, 100)
(1437532881, 73)
(1437532882, 79)
(1437532883, 76)
(1437532884, 106)
(1437532885, 175)
(1437532886, 182)
(1437532887, 160)
(1437532888, 112)
(1437532889, 141)
(1437532890, 118)
(1437532891, 167)
(1437532892, 143)
(1437532893, 102)
(1437532894, 106)
(1437532895, 142)
(1437532896, 178)
(1437532897, 122)
(1437532898, 88)
(1437532899, 174)
(1437532900, 160)
(1437532901, 178)
(1437532902, 125)
(1437532903, 193)
(1437532904, 167)
(1437532905, 295)
(1437532906, 185)
(1437532907, 107)
(1437532908, 76)
(1437532909, 90)
(1437532910, 110)
(1437532911, 126)
(1437532912, 203)
(1437532913, 102)
(1437532914, 107)
(1437532915, 110)
(1437532916, 170)
(1437532917, 99)
(1437532918, 115)
(1437532919, 78)
(1437532920, 74)
(1437532921, 91)
(1437532922, 82)
(1437532923, 93)
(1437532924, 91)
(1437532925, 86)
(1437532926, 95)
(1437532927, 93)
(1437532928, 116)
(1437532929, 111)
(1437532930, 113)
(1437532931, 157)
(1437532932, 95)
(1437532933, 76)
(1437532934, 95)
(1437532935, 102)
(1437532936, 85)
(1437532937, 124)
(1437532938, 105)
(1437532939, 115)
(1437532940, 109)
(1437532941, 78)
(1437532942, 109)
(1437532943, 181)
(1437532944, 92)
(1437532945, 102)
(1437532946, 75)
(1437532947, 60)
(1437532948, 71)
(1437532949, 99)
(1437532950, 86)
(1437532951, 116)
(1437532952, 98)
(1437532953, 118)
(1437532954, 80)
(1437532955, 74)
(1437532956, 87)
(1437532957, 94)
(1437532958, 127)
(1437532959, 147)
(1437532960, 81)
(1437532961, 82)
(1437532962, 95)
(1437532963, 77)
(1437532964, 68)
(1437532965, 79)
(1437532966, 73)
(1437532967, 71)
(1437532968, 77)
(1437532969, 69)
(1437532970, 99)
(1437532971, 175)
(1437532972, 76)
(1437532973, 74)
(1437532974, 56)
(1437532975, 85)
(1437532976, 49)
(1437532977, 68)
(1437532978, 66)
(1437532979, 64)
(1437532980, 60)
(1437532981, 76)
(1437532982, 75)
(1437532983, 140)
(1437532984, 81)
(1437532985, 61)
(1437532986, 65)
(1437532987, 78)
(1437532988, 75)
(1437532989, 95)
(1437532990, 87)
(1437532991, 80)
(1437532992, 76)
(1437532993, 146)
(1437532994, 80)
(1437532995, 58)
(1437532996, 59)
(1437532997, 69)
(1437532998, 122)
(1437532999, 104)
(1437533000, 54)
(1437533001, 54)
(1437533002, 44)
(1437533003, 55)
(1437533004, 52)
(1437533005, 54)
(1437533006, 69)
(1437533007, 72)
(1437533008, 85)
(1437533009, 58)
(1437533010, 66)
(1437533011, 72)
(1437533012, 93)
(1437533013, 73)
(1437533014, 86)
(1437533015, 59)
(1437533016, 58)
(1437533017, 66)
(1437533018, 70)
(1437533019, 52)
(1437533020, 69)
(1437533021, 66)
(1437533022, 89)
(1437533023, 113)
(1437533024, 73)
(1437533025, 85)
(1437533026, 66)
(1437533027, 57)
(1437533028, 80)
(1437533029, 122)
(1437533030, 101)
(1437533031, 74)
(1437533032, 88)
(1437533033, 67)
(1437533034, 74)
(1437533035, 96)
(1437533036, 95)
(1437533037, 102)
(1437533038, 130)
(1437533039, 108)
(1437533040, 150)
(1437533041, 126)
(1437533042, 112)
(1437533043, 88)
(1437533044, 101)
(1437533045, 102)
(1437533046, 88)
(1437533047, 85)
(1437533048, 105)
(1437533049, 82)
(1437533050, 71)
(1437533051, 60)
(1437533052, 83)
(1437533053, 139)
(1437533054, 99)
(1437533055, 116)
(1437533056, 76)
(1437533057, 59)
(1437533058, 58)
(1437533059, 66)
(1437533060, 55)
(1437533061, 59)
(1437533062, 52)
(1437533063, 88)
(1437533064, 93)
(1437533065, 80)
(1437533066, 109)
(1437533067, 44)
(1437533068, 46)
(1437533069, 81)
(1437533070, 65)
(1437533071, 47)
(1437533072, 71)
(1437533073, 102)
(1437533074, 69)
(1437533075, 81)
(1437533076, 56)
